"Site
#",School,Date,Time,"Creek
Appearance","Weather  (past 48
hr)",Stage (m),"Discharge
(m3
s)",Other tests,"Sulfate
(mg
L)","Flow  (m
s)","Temp. (deg
C)","pH
Meter","TDS
(mg
L)","DO
(mg
L)","NO3-N
(mg
L)","P (mg
L)","Alk
(mg
L)","Turb
(JTU)","Fe
(mg
L)","WQI
value","Conductivity
(uS
cm)","pH
Test
Kit"
29,Seneca,.,.,clear,cold/flurries,normal,n/a,,no data,fast,7,7.55,80,10,0.001,0.001,85,25,.,8.43,.,.
.,,.,.,,"cold, cloudy,",,,,,,.,.,.,.,.,.,.,.,.,.,.,.
49,"Cussewago
Elementary
Schoo",.,.,mostly frozen,snow/rain/ice,normal,,,,,0.5,7.75,75,14,0.6,.,102,.,.,.,.,.
56,"Northwestern
High School",.,.,murky,no rain,normal,,,,slow,7.5,8.45,50,10.5,0.02,0.004,51,7.5,.,12.01,.,.
3,Bethesda,.,.,oil on surface,sunny,average,,,,,15,7.8,65,10,0,0.0465,76.5,7.5,.,7.5975,.,.
60,Findley Lake,.,.,clear,light rain / snow,normal,,,,normal,6,7,130,12,2.5,.,.,4.5,.,.,.,.
26,Meadville MS,.,.,normal,light precipitation,average,NA,NA,NA,NA,3,6.5,90,11.5,0.3,0,68,7.5,.,-1.55,.,.
26,Meadville MS,.,.,normal,light precipitation,average,NA,NA,NA,NA,2,6.75,90,11,0.35,0,85,5,.,0.8,.,.
83,Sherman,.,.,"slow, cold",rain,normal,NA,NA,NA,NA,14.3,7.5,135,0.5,0,0.3,38,0,.,14.15,.,.
.,"Lakeview
School District",.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.
86,"Jamestown High
School",.,.,Clear,Clear,Normal,NA,NA,NA,NA,16,7.9,105,13,.,0,93.5,0,.,.,.,.
.,"FTLB9 Fort
LeBoeuf Middle",.,.,NA,NA,NA,NA,NA,NA,NA,4.15,8.9,71.5,12.5,0.117,.,127.5,0,.,.,.,.
1,"Maplewood
High School",.,13:30:00,Shallow and clear,"Partly Cloudy -- no
rain","shallow, but
no",N/A,N/A,N/A,N/A,9.5,7.13,30,.,0,0,85,0,.,.,.,.
28,Fort LeBoeuf,2000-09-07,.,"slow, clear",clear,1.1,n/a,,no data,n/a,23.5,8.6,150,8.5,0.3,0.24,110.5,5,0.02,20.45,.,.
7,Meadville Senior,2000-09-12,.,slow,"sunny, warm",low,n/a,,no data,n/a,22,8.6,140,8.5,0,0,127,10,.,14.85,.,.
36,Conneaut Valley,2000-09-12,.,"fast, turbid",light rain,0.13,n/a,,no data,0.3,20.6,7.9,140,9,0.16,0.08,204,5,.,10.7,.,.
37,Conneaut Valley,2000-09-12,.,"slow, turbid",light rain,0.6,n/a,,no data,0.1,20.8,7.4,140,9,0.09,0.06,221,5,.,7.3,.,.
38,Conneaut Valley,2000-09-12,.,"slow, turbid",light rain,0.9,n/a,,no data,0.1,21.6,7.9,140,9,0.15,0.03,170,10,.,10.85,.,.
15,"Conneaut Lake
Jr/Sr. High",2000-09-12,10:00:00,saw a black snake,rain,N/A,N/A,N/A,N/A,N/A,22,7.2,140,6.5,0,0,144.5,12.5,.,10.35,.,.
35,Meadville High,2000-09-13,.,slow,rain,0.05,0.096,,no data,0.24,18.5,8.4,240,8.5,0,0.02,153,2.5,.,12.05,.,.
2,Bethesda,2000-09-14,.,n/a,n/a,n/a,n/a,,no data,n/a,20,7.1,120,10,0,0,85,0,.,6.2,.,.
3,Bethesda,2000-09-14,.,strong flow,clear,n/a,n/a,,no data,n/a,21,8.2,90,10,0,0,93.5,.,.,.,.,.
28,Fort LeBoeuf,2000-09-14,.,vegetation,"rain, snow",0.85,n/a,,no data,n/a,20,7.3,155,9,0.15,0.01,119,6.25,.,8.2,.,.
13,Parker,2000-09-14,8:30:00,brown,"sunny, drizzle",normal,n/a,,no data,n/a,19.5,7.65,55,5,0.2,0,144.5,5,.,10.7,.,.
12,Parker,2000-09-14,8:45:00,clear,"sunny, drizzle",normal,n/a,,no data,n/a,11.5,7.9,90,12,0.15,0,161.5,5,.,7.3,.,.
33,Parker,2000-09-14,8:45:00,clear,"rain, sunny",0.46,n/a,,no data,n/a,12,7.3,120,7,0.35,0.09,178.5,12.5,.,14.05,.,.
12,Parker,2000-09-14,9:50:00,clear,"sunny, drizzle",lower,n/a,,no data,n/a,16,7.15,95,10,0.4,0.013,170,10,.,12,.,.
13,Parker,2000-09-14,10:00:00,clear,"sunny, drizzle",normal,n/a,,no data,n/a,20,7.65,80,5,0,0,136,5,.,8.7,.,.
33,Parker,2000-09-14,10:00:00,clear,"rain, sunny",0.45,n/a,,no data,n/a,11,7.6,135,9,0.34,0,187,10,.,9.9,.,.
13,Parker,2000-09-14,11:20:00,shallow,"sunny, drizzle","1-2""",n/a,,no data,n/a,23,7.3,110,9,0.8,0.0073,161.5,3.75,.,14.16,.,.
33,Parker,2000-09-14,11:20:00,clear,"rain, sunny",0.45,n/a,,no data,n/a,13,7.95,130,8,0.25,0.003,204,5,.,11.55,.,.
12,Parker,2000-09-14,11:33:00,clear,"sunny, drizzle",low,n/a,,no data,n/a,11,7.2,95,8.5,0.25,0.03,178.5,5,.,10.4,.,.
46,Seneca,2000-09-19,.,algae growth,clear,normal,n/a,,no data,n/a,18,9.4,140,7.5,0.4,0.0067,102,10,.,26.05,.,.
29,Seneca,2000-09-20,.,clear,"clear, sunny",n/a,n/a,,no data,n/a,10.5,6.7,130,12,0.001,0.083,196,10,.,11.26,.,.
32,Seneca,2000-09-20,.,"oily, cloudy","clear, sunny",normal,n/a,,no data,n/a,15.7,6.8,160,5.5,0.07,0.313,170,5,.,18.15,.,.
6,Saegertown,2000-09-21,.,turbid,heavy rain,0.75,15.7,Hard=9g/pg,no data,0.46,17,8.05,120,9,0.3,0.04,144.5,22.5,.,16.2,.,.
28,Fort LeBoeuf,2000-09-21,.,turbid,heavy rain,0.85,n/a,RCE=281,no data,0.94,16,7.25,115,7.5,0.1,0.18,110.5,20,.,14.45,.,.
30,Seneca,2000-09-21,.,clear,"sunny, clear",normal,n/a,,no data,normal,15,7,130,7,0.001,0.07,146,5,.,11.16,.,.
5,"Cambridge
Springs",2000-09-25,.,high,light rain,1.05,n/a,,no data,8.5,16,9.2,95,8.5,0.13,0.03,37.4,10,.,21.4,.,.
36,Conneaut Valley,2000-09-26,.,clear,cloudy,0.18,n/a,PTI=45.6,no data,0.25,13.3,7.7,130,11,0.18,0.03,153,5,.,7.15,.,.
37,Conneaut Valley,2000-09-26,.,turbid,cloudy,0.6,n/a,,no data,0.15,13.8,7.7,130,11,0.15,0.02,170,5,.,6.7,.,.
38,Conneaut Valley,2000-09-26,.,"still, turbid",cloudy,0.5,n/a,,no data,n/a,14.3,7.5,130,11,0.18,0.02,136,10,.,6.4,.,.
39,General McLane,2000-09-26,.,clear,heavy rain,normal,n/a,,no data,n/a,11,8.1,110,11,0.6,0.067,153,5,.,15.11,.,.
15,"Conneaut Lake
Jr/Sr. High",2000-09-26,10:00:00,clear,"calm, cool, clear",N/A,N/A,N/A,N/A,N/A,14,7,110,13,0,0.02,144.5,0,.,5.2,.,.
4,"Cambridge
Springs",2000-09-27,.,"murky, brown",clear,3.5,n/a,,no data,n/a,16.5,7.05,90,9.5,0.115,0.02,136,5,.,9.4,.,.
28,Fort LeBoeuf,2000-09-27,.,low,clear,1,n/a,,no data,2.9,17,7.7,130,6.5,0.175,0.2,136,0,.,11.8,.,.
40,General McLane,2000-09-28,.,n/a,clear,normal,n/a,,no data,n/a,15,8.15,95,9,0,0,76.5,12.5,.,11.4,.,.
